Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
1140,Stroke,VNM,2000,BTSX,ALLAges,79900000,101741.7,127.34,1978758,2476.54
1130,Ischaemic heart disease,VNM,2000,BTSX,ALLAges,79900000,51749.57,64.77,913685,1143.54
30,Tuberculosis,VNM,2000,BTSX,ALLAges,79900000,29254.83,36.61,1415634,1771.76
1180,Chronic obstructive pulmonary disease,VNM,2000,BTSX,ALLAges,79900000,25681.69,32.14,508614.3,636.56
660,Liver cancer,VNM,2000,BTSX,ALLAges,79900000,23227.23,29.07,732067.6,916.23
390,Lower respiratory infections,VNM,2000,BTSX,ALLAges,79900000,20801.46,26.03,790345.9,989.17
1530,Road injury,VNM,2000,BTSX,ALLAges,79900000,19251,24.09,1073856,1344
800,Diabetes mellitus,VNM,2000,BTSX,ALLAges,79900000,16270.82,20.36,468067,585.82
1230,Cirrhosis of the liver,VNM,2000,BTSX,ALLAges,79900000,16236.63,20.32,441321.9,552.34
490,Neonatal conditions,VNM,2000,BTSX,ALLAges,79900000,15016.08,18.79,1513253,1893.93
950,Alzheimer disease and other dementias,VNM,2000,BTSX,ALLAges,79900000,14814.22,18.54,228741.1,286.28
1120,Hypertensive heart disease,VNM,2000,BTSX,ALLAges,79900000,14805.76,18.53,268287.6,335.78
640,Stomach cancer,VNM,2000,BTSX,ALLAges,79900000,14050.47,17.59,342041.9,428.09
1270,Kidney diseases,VNM,2000,BTSX,ALLAges,79900000,12295.08,15.39,319085.9,399.36
680,"Trachea, bronchus, lung cancers",VNM,2000,BTSX,ALLAges,79900000,10806.86,13.53,274363.3,343.38
110,Diarrhoeal diseases,VNM,2000,BTSX,ALLAges,79900000,8614.92,10.78,549981,688.34
1190,Asthma,VNM,2000,BTSX,ALLAges,79900000,8211.66,10.28,244886.6,306.49
1550,Falls,VNM,2000,BTSX,ALLAges,79900000,7530.63,9.43,231310.5,289.5
1400,Congenital anomalies,VNM,2000,BTSX,ALLAges,79900000,6681.47,8.36,662251.9,828.85
100,HIV/AIDS,VNM,2000,BTSX,ALLAges,79900000,5662.97,7.09,323532.5,404.92
1610,Self-harm,VNM,2000,BTSX,ALLAges,79900000,4871.13,6.1,223077.4,279.2
1570,Drowning,VNM,2000,BTSX,ALLAges,79900000,4461.4,5.58,270729.6,338.84
620,Mouth and oropharynx cancers,VNM,2000,BTSX,ALLAges,79900000,4108.68,5.14,123719.6,154.84
150,Measles,VNM,2000,BTSX,ALLAges,79900000,3940.62,4.93,344564.2,431.24
770,Leukaemia,VNM,2000,BTSX,ALLAges,79900000,3898.26,4.88,214314.4,268.23
1150,"Cardiomyopathy, myocarditis, endocarditis",VNM,2000,BTSX,ALLAges,79900000,3205.11,4.01,76489.47,95.73
650,Colon and rectum cancers,VNM,2000,BTSX,ALLAges,79900000,3173.45,3.97,81290.12,101.74
960,Parkinson disease,VNM,2000,BTSX,ALLAges,79900000,2855.82,3.57,46944.4,58.75
700,Breast cancer,VNM,2000,BTSX,ALLAges,79900000,2806.84,3.51,99337.48,124.33
1575,Exposure to mechanical forces,VNM,2000,BTSX,ALLAges,79900000,2244.03,2.81,170740.6,213.69
1242,Paralytic ileus and intestinal obstruction,VNM,2000,BTSX,ALLAges,79900000,2121.01,2.65,53303.56,66.71
760,"Lymphomas, multiple myeloma",VNM,2000,BTSX,ALLAges,79900000,1841.1,2.3,67500.53,84.48
1110,Rheumatic heart disease,VNM,2000,BTSX,ALLAges,79900000,1820.1,2.28,47141.03,59
1246,Gallbladder and biliary diseases,VNM,2000,BTSX,ALLAges,79900000,1813.62,2.27,49011.98,61.34
710,Cervix uteri cancer,VNM,2000,BTSX,ALLAges,79900000,1674.35,2.1,53647.68,67.14
751,Brain and nervous system cancers,VNM,2000,BTSX,ALLAges,79900000,1627.69,2.04,83889.79,104.99
1620,Interpersonal violence,VNM,2000,BTSX,ALLAges,79900000,1354.33,1.7,121118.7,151.59
320,Rabies,VNM,2000,BTSX,ALLAges,79900000,1307,1.64,70404.42,88.12
180,Encephalitis,VNM,2000,BTSX,ALLAges,79900000,1228.28,1.54,65678.34,82.2
1220,Peptic ulcer disease,VNM,2000,BTSX,ALLAges,79900000,1086.43,1.36,17668.97,22.11
630,Oesophagus cancer,VNM,2000,BTSX,ALLAges,79900000,1045.19,1.31,27822.56,34.82
740,Prostate cancer,VNM,2000,BTSX,ALLAges,79900000,1040.63,1.3,26104.02,32.67
1330,Skin diseases,VNM,2000,BTSX,ALLAges,79900000,967.83,1.21,247632.1,309.93
1540,Poisonings,VNM,2000,BTSX,ALLAges,79900000,959.65,1.2,47362.47,59.28
420,Maternal conditions,VNM,2000,BTSX,ALLAges,79900000,832.18,1.04,58009.64,72.6
1248,Pancreatitis,VNM,2000,BTSX,ALLAges,79900000,821.51,1.03,23080.89,28.89
170,Meningitis,VNM,2000,BTSX,ALLAges,79900000,793.25,0.99,53822.67,67.36
160,Tetanus,VNM,2000,BTSX,ALLAges,79900000,645.11,0.81,28372.74,35.51
745,Kidney cancer,VNM,2000,BTSX,ALLAges,79900000,622.96,0.78,24420.19,30.56
870,Drug use disorders,VNM,2000,BTSX,ALLAges,79900000,608.38,0.76,121358.4,151.89
1580,Natural disasters,VNM,2000,BTSX,ALLAges,79900000,601.02,0.75,41042.08,51.37
720,Corpus uteri cancer,VNM,2000,BTSX,ALLAges,79900000,573.59,0.72,16847,21.09
220,Malaria,VNM,2000,BTSX,ALLAges,79900000,520.39,0.65,33727.4,42.21
750,Bladder cancer,VNM,2000,BTSX,ALLAges,79900000,485.42,0.61,10236.35,12.81
130,Whooping cough,VNM,2000,BTSX,ALLAges,79900000,463.76,0.58,41652.49,52.13
753,Larynx cancer,VNM,2000,BTSX,ALLAges,79900000,452.48,0.57,13539.57,16.95
860,Alcohol use disorders,VNM,2000,BTSX,ALLAges,79900000,425.58,0.53,116573.6,145.9
1560,"Fire, heat and hot substances",VNM,2000,BTSX,ALLAges,79900000,427.2,0.53,50835.48,63.62
186,Acute hepatitis A,VNM,2000,BTSX,ALLAges,79900000,417.41,0.52,15723.84,19.68
730,Ovary cancer,VNM,2000,BTSX,ALLAges,79900000,406.35,0.51,14813.09,18.54
190,Acute hepatitis B,VNM,2000,BTSX,ALLAges,79900000,392.21,0.49,15986.45,20.01
970,Epilepsy,VNM,2000,BTSX,ALLAges,79900000,388.75,0.49,79544.27,99.55
1240,Appendicitis,VNM,2000,BTSX,ALLAges,79900000,275.17,0.34,12333.95,15.44
670,Pancreas cancer,VNM,2000,BTSX,ALLAges,79900000,273.68,0.34,8289.38,10.37
690,Melanoma and other skin cancers,VNM,2000,BTSX,ALLAges,79900000,263.11,0.33,7703.76,9.64
1244,Inflammatory bowel disease,VNM,2000,BTSX,ALLAges,79900000,244.4,0.31,7062.07,8.84
754,Thyroid cancer,VNM,2000,BTSX,ALLAges,79900000,234.95,0.29,8557.6,10.71
550,Protein-energy malnutrition,VNM,2000,BTSX,ALLAges,79900000,222.54,0.28,46987.42,58.81
752,Gallbladder and biliary tract cancer,VNM,2000,BTSX,ALLAges,79900000,197.79,0.25,5125.78,6.42
1505,Sudden infant death syndrome,VNM,2000,BTSX,ALLAges,79900000,191.39,0.24,17138.85,21.45
755,Mesothelioma,VNM,2000,BTSX,ALLAges,79900000,177.58,0.22,5315.81,6.65
811,Thalassaemias,VNM,2000,BTSX,ALLAges,79900000,164.4,0.21,51931.36,65
50,Syphilis,VNM,2000,BTSX,ALLAges,79900000,169.76,0.21,15111.87,18.91
200,Acute hepatitis C,VNM,2000,BTSX,ALLAges,79900000,133.98,0.17,4614.94,5.78
1350,Rheumatoid arthritis,VNM,2000,BTSX,ALLAges,79900000,101.14,0.13,9971.17,12.48
1290,Urolithiasis,VNM,2000,BTSX,ALLAges,79900000,68.56,0.09,4041.3,5.06
1241,Gastritis and duodenitis,VNM,2000,BTSX,ALLAges,79900000,72.36,0.09,15122.86,18.93
300,Dengue,VNM,2000,BTSX,ALLAges,79900000,68.33,0.09,13373.4,16.74
980,Multiple sclerosis,VNM,2000,BTSX,ALLAges,79900000,65.42,0.08,2773.52,3.47
742,Testicular cancer,VNM,2000,BTSX,ALLAges,79900000,52.79,0.07,1781.42,2.23
400,Upper respiratory infections,VNM,2000,BTSX,ALLAges,79900000,36.61,0.05,56356.72,70.53
285,Cysticercosis,VNM,2000,BTSX,ALLAges,79900000,32.9,0.04,20751.88,25.97
205,Acute hepatitis E,VNM,2000,BTSX,ALLAges,79900000,26.64,0.03,1246.58,1.56
1630,Collective violence and legal intervention,VNM,2000,BTSX,ALLAges,79900000,23.63,0.03,1474.75,1.85
340,Ascariasis,VNM,2000,BTSX,ALLAges,79900000,13.79,0.02,129579,162.18
140,Diphtheria,VNM,2000,BTSX,ALLAges,79900000,4.5,0.01,311.48,0.39
1320,Gynecological diseases,VNM,2000,BTSX,ALLAges,79900000,6.14,0.01,208140,260.5
1470,Oral conditions,VNM,2000,BTSX,ALLAges,79900000,0,0,126162.5,157.9
1360,Osteoarthritis,VNM,2000,BTSX,ALLAges,79900000,0,0,69172.3,86.57
1370,Gout,VNM,2000,BTSX,ALLAges,79900000,0,0,9623.5,12.04
1380,Back and neck pain,VNM,2000,BTSX,ALLAges,79900000,0,0,459001.2,574.47
1310,Infertility,VNM,2000,BTSX,ALLAges,79900000,0,0,11635.85,14.56
1280,Benign prostatic hyperplasia,VNM,2000,BTSX,ALLAges,79900000,0,0,18250.75,22.84
990,Migraine,VNM,2000,BTSX,ALLAges,79900000,0,0,301909.4,377.86
1000,Non-migraine headache,VNM,2000,BTSX,ALLAges,79900000,0,0,38689.27,48.42
1030,Glaucoma,VNM,2000,BTSX,ALLAges,79900000,0,0,10653.53,13.33
1040,Cataracts,VNM,2000,BTSX,ALLAges,79900000,0,0,81449.89,101.94
1050,Uncorrected refractive errors,VNM,2000,BTSX,ALLAges,79900000,0,0,303858,380.3
1060,Macular degeneration,VNM,2000,BTSX,ALLAges,79900000,0,0,16479.98,20.63
1070,Other vision loss,VNM,2000,BTSX,ALLAges,79900000,0,0,235238.4,294.42
1080,Other hearing loss,VNM,2000,BTSX,ALLAges,79900000,0,0,363520.5,454.97
60,Chlamydia,VNM,2000,BTSX,ALLAges,79900000,0.81,0,3488.38,4.37
70,Gonorrhoea,VNM,2000,BTSX,ALLAges,79900000,2.72,0,2009.82,2.52
80,Trichomoniasis,VNM,2000,BTSX,ALLAges,79900000,0,0,1646.46,2.06
85,Genital herpes,VNM,2000,BTSX,ALLAges,79900000,0,0,2542.58,3.18
230,African trypanosomiasis,VNM,2000,BTSX,ALLAges,79900000,0,0,0,0
240,Chagas disease,VNM,2000,BTSX,ALLAges,79900000,0,0,0,0
250,Schistosomiasis,VNM,2000,BTSX,ALLAges,79900000,0,0,0,0
260,Leishmaniasis,VNM,2000,BTSX,ALLAges,79900000,0,0,0,0
270,Lymphatic filariasis,VNM,2000,BTSX,ALLAges,79900000,0,0,49626.07,62.11
280,Onchocerciasis,VNM,2000,BTSX,ALLAges,79900000,0,0,0,0
350,Trichuriasis,VNM,2000,BTSX,ALLAges,79900000,0,0,30782.67,38.53
360,Hookworm disease,VNM,2000,BTSX,ALLAges,79900000,0,0,17734.18,22.2
362,Food-bourne trematodes,VNM,2000,BTSX,ALLAges,79900000,0,0,11740.99,14.69
365,Leprosy,VNM,2000,BTSX,ALLAges,79900000,0,0,87.34,0.11
295,Echinococcosis,VNM,2000,BTSX,ALLAges,79900000,0,0,5.66,0.01
410,Otitis media,VNM,2000,BTSX,ALLAges,79900000,1.09,0,29644.93,37.1
310,Trachoma,VNM,2000,BTSX,ALLAges,79900000,0,0,4092.55,5.12
315,Yellow fever,VNM,2000,BTSX,ALLAges,79900000,0,0,0,0
560,Iodine deficiency,VNM,2000,BTSX,ALLAges,79900000,0,0,24188.48,30.27
570,Vitamin A deficiency,VNM,2000,BTSX,ALLAges,79900000,0,0,7970.57,9.98
580,Iron-deficiency anaemia,VNM,2000,BTSX,ALLAges,79900000,0,0,223576.2,279.82
812,Sickle cell disorders and trait,VNM,2000,BTSX,ALLAges,79900000,0.35,0,2232.89,2.79
830,Depressive disorders,VNM,2000,BTSX,ALLAges,79900000,0,0,280012,350.45
840,Bipolar disorder,VNM,2000,BTSX,ALLAges,79900000,0,0,56042.66,70.14
850,Schizophrenia,VNM,2000,BTSX,ALLAges,79900000,0,0,154844.1,193.8
880,Anxiety disorders,VNM,2000,BTSX,ALLAges,79900000,0,0,171753.1,214.96
890,Eating disorders,VNM,2000,BTSX,ALLAges,79900000,0.8,0,13741.6,17.2
900,Autism and Asperger syndrome,VNM,2000,BTSX,ALLAges,79900000,0,0,39626.18,49.59
910,Childhood behavioural disorders,VNM,2000,BTSX,ALLAges,79900000,0,0,75690.95,94.73
920,Idiopathic intellectual disability,VNM,2000,BTSX,ALLAges,79900000,0,0,103055.1,128.98
