Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
1140,Stroke,VNM,2015,BTSX,ALLAges,92700000,156461.8,168.78,3119777,3365.46
1130,Ischaemic heart disease,VNM,2015,BTSX,ALLAges,92700000,79955.46,86.25,1422402,1534.41
1180,Chronic obstructive pulmonary disease,VNM,2015,BTSX,ALLAges,92700000,33450.32,36.08,706146.5,761.75
800,Diabetes mellitus,VNM,2015,BTSX,ALLAges,92700000,29034.58,31.32,896187.2,966.76
390,Lower respiratory infections,VNM,2015,BTSX,ALLAges,92700000,27164,29.3,775077.5,836.11
950,Alzheimer disease and other dementias,VNM,2015,BTSX,ALLAges,92700000,25963.74,28.01,375936.4,405.54
660,Liver cancer,VNM,2015,BTSX,ALLAges,92700000,25718.88,27.74,898431.9,969.18
1530,Road injury,VNM,2015,BTSX,ALLAges,92700000,23582,25.44,1284261,1385.39
1270,Kidney diseases,VNM,2015,BTSX,ALLAges,92700000,21004.59,22.66,538212.1,580.6
1230,Cirrhosis of the liver,VNM,2015,BTSX,ALLAges,92700000,20759.54,22.39,585762.4,631.89
1120,Hypertensive heart disease,VNM,2015,BTSX,ALLAges,92700000,18602.96,20.07,341534,368.43
680,"Trachea, bronchus, lung cancers",VNM,2015,BTSX,ALLAges,92700000,18309.56,19.75,510648.7,550.86
640,Stomach cancer,VNM,2015,BTSX,ALLAges,92700000,13951.53,15.05,375886.9,405.49
30,Tuberculosis,VNM,2015,BTSX,ALLAges,92700000,13908.72,15,723336.6,780.3
1550,Falls,VNM,2015,BTSX,ALLAges,92700000,13611.37,14.68,403223.6,434.98
490,Neonatal conditions,VNM,2015,BTSX,ALLAges,92700000,12772.15,13.78,1358253,1465.21
1190,Asthma,VNM,2015,BTSX,ALLAges,92700000,8180.52,8.82,255296.7,275.4
1400,Congenital anomalies,VNM,2015,BTSX,ALLAges,92700000,7850.33,8.47,759819.6,819.65
1610,Self-harm,VNM,2015,BTSX,ALLAges,92700000,7100.14,7.66,317570,342.58
